track_name,artist,genre,play_count,danceability,energy,valence,tempo
Back in the Picture,The Rasmus,Alternative Rock,8,0.284,0.746,0.621,88.6
Darkest Hour,Iron Maiden,Metal,3,0.232,0.338,0.774,60.0
Wilderness,Matt Uelmen,Other,3,0.126,0.466,0.676,137.9
This Is War,Thirty Seconds To Mars,Alternative Rock,54,0.22,0.601,0.397,95.3
West Coast,Lana Del Rey,Pop,4,0.898,0.587,0.583,138.6
Get Up,All Good Things,Hard Rock,3,0.833,0.424,0.439,179.2
Begin Again,Shinedown,Hard Rock,19,0.114,0.318,0.671,95.5
God Gave Me Everything,Mick Jagger,Other,3,0.578,0.283,0.746,136.9
Plastic Hearts,Miley Cyrus,Pop,14,0.09,0.454,0.146,130.4
Talk Is Cheap,Chet Faker,Electronic,5,0.415,0.874,0.551,131.4
Sledgehammer,Peter Gabriel,Progressive Rock,50,0.662,0.386,0.819,119.5
A Game of Badminton (feat. Jack Liebeck),Dario Marianelli,Soundtrack,7,0.52,0.471,0.517,114.3
Get Right With Me,Depeche Mode,Electronic,7,0.155,0.498,0.846,129.0
Greens and Blues - Live at Water Music,Pixies,Alternative Rock,13,0.423,0.429,0.33,171.4
Slipping Away,Sum 41,Punk Rock,3,0.604,0.488,0.378,113.2
Nace Una Nueva Gente,Pork,Latin Rock,17,0.495,0.591,0.873,114.4
7/11,Beyoncé,Pop,3,0.827,0.737,0.145,106.5
If You Only Knew - Acoustic; Live from Kansas City,Shinedown,Hard Rock,3,0.414,0.342,0.31,103.1
A Loneliness,The Pineapple Thief,Progressive Rock,5,0.431,0.458,0.485,148.0
Sobre la Superficie,Barco,Latin Rock,9,0.453,0.279,0.404,134.0
I Belong To You,Lenny Kravitz,Classic Rock,20,0.636,0.909,0.684,77.4
"Liar - Live At The Hammersmith Odeon, London / 1975",Queen,Classic Rock,3,0.451,0.895,0.597,120.0
At the Bottom,Leprous,Progressive Metal,97,0.492,0.705,0.385,111.5
Above the Sky,Majestica,Power Metal,3,0.886,0.639,0.449,145.3
Fall into the Light,Dream Theater,Progressive Metal,13,0.723,0.333,0.465,121.6
Anti-Hero,Taylor Swift,Pop,3,0.875,0.729,0.23,135.2
El Pibe de los Astilleros,Patricio Rey y sus Redonditos de Ricota,Latin Rock,4,0.705,0.915,0.125,140.0
The Bed's Too Big Without You - Remastered 2003,The Police,Other,5,0.299,0.386,0.34,134.2
All Systems Go,Box Car Racer,Other,6,0.774,0.732,0.223,109.2
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Pop,11,0.844,0.482,0.752,96.0
She's Electric - Remastered,Oasis,Indie Rock,6,0.488,0.414,0.882,85.6
If You Ever Want To Be In Love,James Bay,Pop,20,0.805,0.763,0.349,115.2
The Danish Girl,Alexandre Desplat,Soundtrack,4,0.224,0.727,0.925,110.0
Ocean Drive,Miami Nights 1984,Electronic,3,0.553,0.351,0.648,115.3
Can You Save Me?,Hoobastank,Hard Rock,4,0.542,0.604,0.597,135.7
Yer Majesty,Shinedown,Hard Rock,27,0.507,0.413,0.478,132.9
Nemo - Remastered,Nightwish,Symphonic Metal,6,0.558,0.384,0.2,146.2
Homemade Dynamite,Lorde,Pop,10,0.218,0.931,0.72,146.9
Paper Scratcher,Blind Melon,Alternative Rock,41,0.588,0.393,0.686,90.1
Serenade,Claude Bolling,Other,3,0.809,0.383,0.879,77.7
Heaven Can Wait - 2015 Remaster,Iron Maiden,Metal,8,0.153,0.465,0.444,162.3
The Oracles on the Delphi Express,The Dear Hunter,Progressive Rock,10,0.594,0.427,0.588,120.2
One,Metallica,Metal,5,0.541,0.421,0.512,111.8
"Bark at the Moon - Live at Budokan Hall, Tokyo, Japan - February 2002",Ozzy Osbourne,Other,3,0.621,0.678,0.352,109.5
The Show Must Go on Prt. 1,Famous Last Words,Post-Hardcore,13,0.551,0.815,0.148,108.9
No One Likes A Fat Pop Star,Robbie Williams,Pop Rock,9,0.505,0.222,0.511,60.0
God Hates Us,Avenged Sevenfold,Hard Rock,47,0.543,0.047,0.855,76.3
Better,Ben Platt,Pop,3,0.251,0.598,0.25,192.7
Screenager,Muse,Alternative Rock,17,0.25,0.238,0.607,124.3
Luminol,Steven Wilson,Progressive Rock,16,0.379,0.874,0.45,98.3
Sand in Your Shoes - Acoustic,This Providence,Other,5,0.683,0.444,0.564,104.4
Schizophrenic Conversations,Staind,Other,6,0.377,0.152,0.16,129.7
Pink as Floyd,Red Hot Chili Peppers,Alternative Rock,3,0.708,0.298,0.371,142.5
Get Out While You Can,James Bay,Pop,5,0.108,0.437,0.298,102.8
45 - Live from Washington State,Shinedown,Hard Rock,38,0.236,0.222,0.388,92.0
En Remolinos - Me Verás Volver Gira 2007,Soda Stereo,Latin Rock,3,0.381,0.927,0.358,130.1
Estadio Azteca,Andrés Calamaro,Other,30,0.301,0.128,0.741,101.5
Rock 'n' Roll Star - 2014 Remaster,Oasis,Indie Rock,6,0.534,0.516,0.268,64.9
Train Of Consequences - Remastered 2004,Megadeth,Metal,4,0.536,0.681,0.534,133.4
The Queen Is Dead - 2011 Remaster,The Smiths,Other,18,0.271,0.799,0.852,85.9
All the Time,Green Day,Punk Rock,5,0.816,0.5,0.472,89.8
Best I Can,Art Of Dying,Other,4,0.46,0.313,0.609,122.8
Dangerous,Shinedown,Hard Rock,38,0.54,0.038,0.64,138.7
Somewhere Close To You,Sonata Arctica,Power Metal,15,0.538,0.174,0.354,116.3
Filosofía Barata y Zapatos de Goma,Charly García,Other,10,0.588,0.404,0.206,100.16
Treat People With Kindness,Harry Styles,Pop,3,0.598,0.164,0.738,108.8
Illumination Theory,Dream Theater,Progressive Metal,6,0.445,0.338,0.513,170.4
I Died For You,Iced Earth,Other,4,0.527,0.598,0.821,76.6
Had To Put It In The Soil (Remastered),Closure in Moscow,Other,12,0.42,0.396,0.5,120.6
El Lugar - Version 2007,Catupecu Machu,Other,3,0.374,0.51,0.237,86.0
Cemetry Gates - 2011 Remaster,The Smiths,Rock,19,0.737,0.695,0.819,154.1
Only for the Weak,In Flames,Other,12,0.538,0.241,0.615,126.0
"Watcher Of The Skies - Live From De Monfort Hall,Leicester,U.K./1973 / 1994 Digital Remaster",Genesis,Progressive Rock,3,0.093,0.264,0.606,103.4
Weightless,Nada Surf,Other,3,0.613,0.762,0.748,148.4
Your Power,Billie Eilish,Pop,54,0.632,0.284,0.208,129.642
Over & Over,Blackfield,Other,8,0.746,0.425,0.871,117.3
Fake Plastic Trees,Radiohead,Alternative Rock,66,0.308,0.816,0.686,162.1
Warheart - Live in Japan,Children Of Bodom,Metal,3,0.287,0.276,0.183,134.3
Monster - Transformers Soundtrack Version,Paramore,Pop Rock,4,0.7,0.457,0.181,105.3
River,Miley Cyrus,Pop,6,0.322,0.248,0.732,108.4
Love Is Madness (feat. Halsey),Thirty Seconds To Mars,Alternative Rock,58,0.382,0.675,0.449,106.171
Redneck,Lamb of God,Other,39,0.512,0.996,0.0601,130.931
Myron & Cole,Green Carnation,Other,3,0.454,0.593,0.252,110.5
Lucifer's Hands,U2,Other,9,0.697,0.349,0.69,126.5
Universal Death Squad,Epica,Symphonic Metal,6,0.116,0.382,0.871,126.8
Live And Let Die,Guns N' Roses,Classic Rock,8,0.791,0.899,0.598,104.5
Heart Of Misery,The Rasmus,Alternative Rock,7,0.868,0.709,0.555,81.8
Umbra,Karnivool,Other,5,0.463,0.389,0.277,146.8
Lightbulb Sun,Porcupine Tree,Progressive Rock,7,0.32,0.362,0.585,124.7
Centuries,Fall Out Boy,Pop Rock,16,0.393,0.858,0.56,176.042
Intro (Live),All Time Low,Other,3,0.814,0.197,0.401,136.0
Preso en Mi Ciudad,Patricio Rey y sus Redonditos de Ricota,Latin Rock,5,0.156,0.754,0.661,140.3
Ropa Sucia,Patricio Rey y sus Redonditos de Ricota,Latin Rock,5,0.512,0.535,0.804,94.7
Endless Forms Most Beautiful - Instrumental,Nightwish,Symphonic Metal,9,0.745,0.171,0.57,82.4
Claudia,FINNEAS,Pop,42,0.928,0.572,0.972,170.3
Lover Alot,Aerosmith,Classic Rock,3,0.744,0.61,0.28,104.3
Internal Warfare,Epica,Symphonic Metal,4,0.591,0.45,0.237,78.8
Bored,Billie Eilish,Pop,34,0.614,0.318,0.112,119.959
Troublemaker,MAX,Other,4,0.633,0.492,0.792,114.8
Shed Some Light,Shinedown,Hard Rock,20,0.593,0.435,0.024,121.2
Rewind,Poets of the Fall,Alternative Rock,7,0.32,0.353,0.6,157.4
Oh Woman Oh Man,London Grammar,Other,3,0.287,0.124,0.227,119.6
Loose Heart - Live,Riverside,Other,4,0.871,0.127,0.347,88.0
The Lake and the River,The Dear Hunter,Progressive Rock,14,0.756,0.585,0.634,92.2
In a Darkened Room,Skid Row,Other,21,0.525,0.702,0.86,142.0
I'm a Mess,Ed Sheeran,Pop,62,0.167,0.059,0.614,117.5
Roll with It - Remastered,Oasis,Indie Rock,11,0.918,0.131,0.821,84.5
Post Scriptum,Iamthemorning,Other,3,0.685,0.655,0.156,108.1
Hard To Handle,The Black Crowes,Other,4,0.599,0.79,0.961,103.783
To Tame a Land - 2015 Remaster,Iron Maiden,Metal,8,0.368,0.473,0.288,104.2
Panama - 2015 Remaster,Van Halen,Hard Rock,11,0.526,0.978,0.451,141.167
512,Lamb of God,Other,8,0.715,0.16,0.332,132.4
The Blue Notebooks,Max Richter,Other,4,0.607,0.636,0.12,103.5
Ezio's Family,Jesper Kyd,Other,5,0.38,0.313,0.64,113.5
Thank God It's Christmas - Non-Album Single,Queen,Classic Rock,4,0.569,0.445,0.22,94.0
Alive,Sia,Other,3,0.313,0.598,0.344,136.7
Planet Telex,Radiohead,Alternative Rock,36,0.178,0.453,0.934,91.0
Every Time You Go Away - Radio Edit,Paul Young,Pop,14,0.572,0.721,0.844,164.252
Ella Adivinó,Charly García,Other,3,0.585,0.77,0.499,76.5
Spit on a Stranger,Pavement,Other,7,0.506,0.772,0.314,116.9
Hope Leaves,Opeth,Progressive Metal,55,0.501,0.48,0.122,139.17
Siva - Remastered 2011,The Smashing Pumpkins,Alternative Rock,4,0.419,0.648,0.339,60.0
On Top Of The World,Imagine Dragons,Pop Rock,9,0.974,0.879,0.511,100.2
I Won't Give Up,Jason Mraz,Other,3,0.585,0.303,0.142,136.703
The Passing of the Elves,Howard Shore,Soundtrack,3,0.064,0.67,0.488,139.8
Breathing,Sonata Arctica,Power Metal,14,0.055,0.235,0.362,60.7
Brain Damage,Pink Floyd,Progressive Rock,26,0.324,0.265,0.208,133.568
If I Ever Lose My Faith In You,Sting,Other,4,0.23,0.575,0.47,154.8
Dead in the Water,The Pineapple Thief,Progressive Rock,11,0.449,0.577,0.656,75.4
Walking On Sunshine,Katrina & The Waves,Other,4,0.142,0.825,0.294,108.1
"The Court Of The Crimson King - Including ""The Return of the Fire Witch"" and ""The Dance of the Puppets""",King Crimson,Other,4,0.334,0.349,0.0644,137.134
Entre Canibales - MTV Unplugged,Soda Stereo,Latin Rock,8,0.392,0.31,0.411,93.8
Lies and Truths,Joe Satriani,Other,4,0.327,0.035,0.81,151.0
The Fallen,Hoobastank,Hard Rock,3,0.173,0.47,0.212,120.3
Chandelier - Four Tet Remix,Sia,Other,6,0.729,0.282,0.475,139.8
"Nocturne No. 19 In E Minor, Op. 72 No. 1",Frédéric Chopin,Classical,12,0.674,0.309,0.309,150.7
Star Sky,Two Steps from Hell,Soundtrack,3,0.729,0.688,0.944,104.1
"Glycerine - Acoustic Version / Live From 107.7 The End, Seattle/1995",Bush,Other,5,0.651,0.414,0.4,141.4
Gotta Be Somebody,Nickelback,Other,14,0.536,0.89,0.205,115.998
Vale of Tears,Riverside,Other,8,0.439,0.389,0.693,100.8
Tom Sawyer,Rush,Progressive Rock,52,0.293,0.621,0.162,115.3
Jam - Remastered Version,Michael Jackson,Pop,7,0.346,0.522,0.479,122.3
Delusions of Saviour,Slayer,Other,10,0.223,0.805,0.25,168.165
Drop The Game,Flume,Other,10,0.396,0.123,0.594,119.3
Adrenalize,In This Moment,Metal,18,0.323,0.114,0.521,151.0
Tear Down Your Walls,Epica,Symphonic Metal,3,0.308,0.511,0.443,103.7
Mad Hatter,Avenged Sevenfold,Hard Rock,3,0.577,0.586,0.442,119.5
Harvest,Nightwish,Symphonic Metal,4,0.509,0.638,0.565,141.9
Dystopia,TesseracT,Other,14,0.704,0.661,0.596,120.2
Running Low,Leprous,Progressive Metal,15,0.14,0.851,0.308,60.5
No Love,Filter,Other,6,0.674,0.474,0.559,109.6
Bajan (En Vivo Estadio Vélez Sarsfield) (feat. Gustavo Cerati),Luis Alberto Spinetta,Other,4,0.248,0.437,0.764,118.5
I Love Rock 'n' Roll,The Black Jets,Other,13,0.764,0.611,0.288,106.3
Can You Hear Me - Single Version,Poets of the Fall,Alternative Rock,6,0.41,0.685,0.505,115.5
Weatherman,Dead Sara,Other,11,0.096,0.62,0.338,203.0
Lonely Soul,Blackfield,Other,4,0.153,0.225,0.647,131.4
Brickwork VIII (Second Love) - live,Pain of Salvation,Other,5,0.532,0.616,0.737,123.3
321,Scorpions,Other,6,0.529,0.429,0.442,135.6
Without Me,Eminem,Hip Hop,5,0.287,0.375,0.507,104.6
Mucho mejor (feat. Coque Malla),Los Rodriguez,Other,5,0.894,0.555,0.706,148.6
Fairytale,Sonata Arctica,Power Metal,10,0.5,0.149,0.045,115.7
Runaway,Avenged Sevenfold,Hard Rock,6,0.76,0.028,0.596,100.2
Trip the Darkness,Lacuna Coil,Other,8,0.214,0.923,0.438,118.7
Eye of the Storm,Scorpions,Other,3,0.557,0.789,0.598,163.5
Liar,Camila Cabello,Other,3,0.397,0.706,0.694,97.5
Dead,Korn,Metal,25,0.707,0.522,0.654,76.3
The Show Must Go On,Pink Floyd,Progressive Rock,11,0.571,0.198,0.326,129.024
The Perfect Symmetry,Demians,Other,32,0.323,0.593,0.215,180.1
Go,blink-182,Punk Rock,3,0.53,0.602,0.814,124.5
Round And Round,Imagine Dragons,Pop Rock,13,0.359,0.471,0.456,100.8
Stargazer,Dream Theater,Progressive Metal,11,0.637,0.956,0.721,65.6
Always on My Mind,Pet Shop Boys,Pop,12,0.533,0.783,0.726,124.874
Innamorarsi,Irene Gaifana,Other,6,0.288,0.486,0.734,95.0
Number,Tristania,Other,5,0.504,0.656,0.758,100.4
Mosh,Eminem,Hip Hop,13,0.022,0.457,0.125,140.3
Going Under,Evanescence,Hard Rock,10,0.629,0.462,0.478,107.3
Passion Colors Everything,Poets of the Fall,Alternative Rock,20,0.671,0.133,0.435,138.3
Week Without You,Miley Cyrus,Pop,3,0.603,0.633,0.734,184.3
I'll Be There For You,Bon Jovi,Classic Rock,4,0.437,0.727,0.233,73.029
Bartholomew Cubbins - Commentary,Thirty Seconds To Mars,Alternative Rock,11,0.447,0.522,0.63,118.5
Not Strong Enough,Apocalyptica,Other,38,0.183,0.44,0.155,142.8
Dream On,Aerosmith,Classic Rock,15,0.4,0.415,0.605,136.7
Dangerous Kind,The Rasmus,Alternative Rock,15,0.382,0.59,0.214,88.8
This Is Why We Can't Have Nice Things,Taylor Swift,Pop,5,0.551,0.808,0.406,92.7
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,Other,4,0.675,0.704,0.418,139.8
No Man's Land,The Pineapple Thief,Progressive Rock,141,0.391,0.573,0.558,75.8
"War Inside My Head - Live at Budokan Hall, Tokyo, Japan, 4/26/2004",Dream Theater,Progressive Metal,3,0.883,0.848,0.333,92.6
Feelings,Maroon 5,Pop Rock,39,0.248,0.641,0.837,114.5
Disposable Teens,Marilyn Manson,Other,6,0.3,0.956,0.271,134.083
Laulu sinulle,Marko Hietala,Other,4,0.182,0.826,0.444,105.3
Deus In Absentia,Ghost,Other,25,0.537,0.326,0.162,69.8
Pet Sematary,Ramones,Punk Rock,21,0.509,0.548,0.584,147.4
"The Worlds Forgotten, the Words Forbidden",Sonata Arctica,Power Metal,3,0.317,0.477,0.611,120.7
Boyfriend,Justin Bieber,Pop,3,0.343,0.245,0.509,153.0
Big Empty,Stone Temple Pilots,Other,5,0.382,0.493,0.562,129.0
The Solitary Path of a Convicted Man,Bruce Soord,Other,4,0.703,0.504,0.603,70.3
D.L.G.,Fito Paez,Latin Rock,19,0.692,0.447,0.097,123.4
He Films The Clouds Pt. 2,Maybeshewill,Other,9,0.453,0.689,0.201,160.011
I Was Made For Lovin' You,KISS,Hard Rock,6,0.479,0.665,0.183,109.5
Everlong,Foo Fighters,Alternative Rock,4,0.333,0.826,0.803,113.1
Lunatic Soul,Lunatic Soul,Other,45,0.244,0.565,0.406,135.8
Wenn sich alles bewegt,Juli,Other,13,0.651,0.362,0.153,147.7
All These Things That I've Done,The Killers,Indie Rock,4,0.764,0.193,0.228,158.2
Sussudio,Phil Collins,Other,3,0.83,0.586,0.159,108.8
Rust In Peace...Polaris - 2004 Remix,Megadeth,Metal,4,0.823,0.358,0.16,112.2
Comfortably Numb - 2011 Remastered Version,Pink Floyd,Progressive Rock,8,0.602,0.465,0.391,120.3
Nana,The 1975,Other,12,0.39,0.171,0.906,120.3
Feel So Low,Porcupine Tree,Progressive Rock,13,0.116,0.627,0.76,86.6
Bye Bye Beautiful,Nightwish,Symphonic Metal,7,0.419,0.697,0.373,60.0
Familiar Faces,Incubus,Other,3,0.49,0.067,0.686,120.8
Why'd You Only Call Me When You're High?,Arctic Monkeys,Indie Rock,44,0.691,0.631,0.8,92.004
Hacerse Cargo,Carajo,Other,3,0.43,0.983,0.527,185.827
Bend & Break,Keane,Other,6,0.459,0.815,0.719,145.8
Rebirth,The Dear Hunter,Progressive Rock,10,0.589,0.449,0.27,98.4
Corazón Fugitivo,La Renga,Latin Rock,8,0.764,0.707,0.421,123.1
Soho,Daniel Cavanagh,Other,7,0.358,0.928,0.504,159.7
Wiener Blut,Rammstein,Other,4,0.295,0.272,0.758,71.7
Magnificent,Hurts,Electronic,12,0.449,0.366,0.43,91.9
5 A.M.,David Gilmour,Other,4,0.712,0.228,0.221,137.6
New Girl,FINNEAS,Pop,10,0.752,0.618,0.327,127.5
Darkest White,Tristania,Other,13,0.716,0.475,0.193,115.2
Magnolia,The Pineapple Thief,Progressive Rock,97,0.42,0.425,0.389,154.1
Will O the Wisp,Opeth,Progressive Metal,24,0.75,0.739,0.157,107.1
Carvel,John Frusciante,Other,3,0.564,0.562,0.724,90.9
California,blink-182,Punk Rock,15,0.79,0.579,0.621,124.5
Voodoo,Godsmack,Hard Rock,3,0.922,0.501,0.667,127.4
Sexo Con Modelos,Marilina Bertoldi,Other,24,0.879,0.645,0.479,128.8
epiphany,Taylor Swift,Pop,4,0.706,0.715,0.234,103.3
Panacea,Luis Alberto Spinetta,Other,3,0.506,0.212,0.895,138.1
Like a Show Inside My Head,Anette Olzon,Other,3,0.579,0.207,0.226,142.0
Back In Black,AC/DC,Classic Rock,19,0.31,0.7,0.763,188.386
Match In The Rain,Alec Benjamin,Other,4,0.564,0.442,0.832,110.9
Garden Of Remembrance,Fish,Other,5,0.804,0.341,0.409,109.9
My Tears Are Becoming a Sea,M83,Electronic,7,0.162,0.353,0.0551,110.76
Snowblind,Robbie Williams,Pop Rock,5,0.197,0.539,0.521,143.2
Come Together,Aerosmith,Classic Rock,7,0.73,0.578,0.204,104.1
The Seventh Sojourn,Opeth,Progressive Metal,23,0.377,0.207,0.08,137.3
Morpho,Ali Toygar,Other,4,0.405,0.259,0.772,173.8
The X Aspect,Dream Theater,Progressive Metal,4,0.246,0.284,0.675,106.5
Kissing Cousins (Remastered),Closure in Moscow,Other,37,0.563,0.846,0.701,93.7
Lethean,Katatonia,Other,3,0.593,0.639,0.117,136.7
No Jesus Christ,Seether,Hard Rock,8,0.362,0.473,0.508,121.3
Sensaciones,Arbolito,Other,6,0.473,0.825,0.673,96.5
The Last Ship,Sting,Other,5,0.332,0.712,0.286,114.3
False Alarm,The Weeknd,R&B,12,0.802,0.458,0.552,145.4
Wreath - Remixed,Opeth,Progressive Metal,9,0.803,0.314,0.428,141.8
La despedida,Fito Paez,Latin Rock,16,0.4,0.172,0.785,100.0
Scene One: Regression,Dream Theater,Progressive Metal,33,0.393,0.915,0.284,147.1
Stay,Poets of the Fall,Alternative Rock,4,0.753,0.795,0.763,147.5
You Could Be Mine,Guns N' Roses,Classic Rock,4,0.456,0.413,0.373,161.4
Deathblow,Deftones,Alternative Metal,5,0.587,0.853,0.176,110.6
Nada Personal - Remasterizado 2007,Soda Stereo,Latin Rock,22,0.744,0.442,0.758,130.1
Blood Eagle,Periphery,Other,3,0.492,0.982,0.0877,124.94
Cloud Factory,Sonata Arctica,Power Metal,17,0.687,0.604,0.753,138.5
Three Dollar Hat,The Dead Weather,Other,8,0.4,0.357,0.501,176.6
When You Gonna Learn?,Jamiroquai,Other,3,0.464,0.722,0.641,123.2
Sleepyhouse,Blind Melon,Alternative Rock,27,0.327,0.095,0.353,120.5
Company,Justin Bieber,Pop,6,0.771,0.647,0.226,69.9
Rezo Por Vos - Live,Charly García,Other,5,0.197,0.744,0.285,153.5
The Root of All Evil,Dream Theater,Progressive Metal,29,0.638,0.48,0.371,99.4
Why Do You Love Me,Charlotte Lawrence,Other,3,0.31,0.662,0.394,122.9
Better That We Break,Maroon 5,Pop Rock,4,0.616,0.462,0.55,101.4
The Recipe,10 Years,Other,4,0.445,0.883,0.353,126.1
Break It to Me (Sam de Jong Remix),Muse,Alternative Rock,11,0.298,0.629,0.657,101.4
"Every Breath You Take - Live From River Plate Stadium, Buenos Aires",The Police,Other,3,0.122,0.707,0.241,106.2
Don't You (Forget About Me) - Remastered,Simple Minds,Other,15,0.34,0.842,0.85,145.3
Nothing Lasts Forever,Maroon 5,Pop Rock,14,0.581,0.601,0.575,137.2
Scissorlips,Rishloo,Other,5,0.344,0.472,0.21,97.7
Special Needs,Placebo,Alternative Rock,3,0.344,0.281,0.37,155.1
Ain't My Fault,Zara Larsson,Electronic,3,0.576,0.782,0.355,141.153
Música para Camaleones,Fito Paez,Latin Rock,7,0.721,0.515,0.472,105.3
Mayonaise - 2011 Remaster,The Smashing Pumpkins,Alternative Rock,4,0.482,0.529,0.0879,145.969
Buzz,Halestorm,Other,3,0.434,0.654,0.277,82.2
Drama - En Vivo,Carajo,Other,4,0.717,0.721,0.143,137.0
Altitudes,Jason Becker,Other,17,0.675,0.765,0.763,116.5
evermore (feat. Bon Iver),Taylor Swift,Pop,4,0.459,0.388,0.766,111.9
Dirty Diana - 2012 Remaster,Michael Jackson,Pop,3,0.305,0.612,0.925,123.5
This Was My Life,Megadeth,Metal,4,0.377,0.315,0.896,113.9
Bother,Stone Sour,Other,29,0.293,0.672,0.588,131.9
Unos Pocos Peligros Sensatos,Patricio Rey y sus Redonditos de Ricota,Latin Rock,5,0.466,0.787,0.86,137.041
The Dream,Shinedown,Hard Rock,15,0.741,0.478,0.765,86.3
Sky,The Rasmus,Alternative Rock,43,0.546,0.203,0.712,97.9
A Conspiracy Unmasked,Howard Shore,Soundtrack,3,0.566,0.093,0.2,94.4
Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,Pop,3,0.348,0.199,0.778,141.7
No Diggity,Blackstreet,R&B,3,0.346,0.66,0.547,132.6
Mariposa tecknicolor,Fito Paez,Latin Rock,9,0.575,0.632,0.753,89.5
The Sleep of No Dreaming,Porcupine Tree,Progressive Rock,4,0.348,0.542,0.472,99.1
Fingerprints,The Third Ending,Other,21,0.891,0.487,0.608,112.2
Forever and One (Neverland),Helloween,Other,5,0.295,0.772,0.82,119.4
You Spin Me Round (Like a Record),Dead Or Alive,Pop,15,0.384,0.913,0.702,69.5
